// DAFJSP014... pero DRC con  hecho_DRC_DAFJS014_wDAFJS02_wDAFJS06m5_w5_69op.txt
//        Ntaks, nMachs, nWORKERs
Params = 	<69, 5,  5>;

precedences ={
<	1	,	2	,	0	>,
<	2	,	3	,	0	>,
<	3	,	4	,	0	>,
<	4	,	6	,	0	>,
<	3	,	5	,	0	>,
<	5	,	6	,	0	>,
<	7	,	8	,	0	>,
<	8	,	9	,	0	>,
<	9	,	10	,	0	>,
<	10	,	13	,	0	>,
<	9	,	11	,	0	>,
<	11	,	13	,	0	>,
<	9	,	12	,	0	>,
<	12	,	13	,	0	>,
<	14	,	15	,	0	>,
<	15	,	20	,	0	>,
<	16	,	17	,	0	>,
<	17	,	20	,	0	>,
<	18	,	19	,	0	>,
<	19	,	20	,	0	>,
<	20	,	21	,	0	>,
<	22	,	23	,	0	>,
<	23	,	24	,	0	>,
<	24	,	25	,	0	>,
<	25	,	26	,	0	>,
<	25	,	27	,	0	>,
<	25	,	28	,	0	>,
<	29	,	31	,	0	>,
<	30	,	31	,	0	>,
<	31	,	32	,	0	>,
<	33	,	34	,	0	>,
<	34	,	35	,	0	>,
<	35	,	36	,	0	>,
<	35	,	37	,	0	>,
<	35	,	38	,	0	>,
<	39	,	40	,	0	>,
<	40	,	41	,	0	>,
<	41	,	42	,	0	>,
<	39	,	43	,	0	>,
<	43	,	44	,	0	>,
<	44	,	45	,	0	>,
<	39	,	46	,	0	>,
<	46	,	47	,	0	>,
<	47	,	48	,	0	>,
<	49	,	50	,	0	>,
<	50	,	55	,	0	>,
<	51	,	52	,	0	>,
<	52	,	55	,	0	>,
<	53	,	54	,	0	>,
<	54	,	55	,	0	>,
<	56	,	57	,	0	>,
<	57	,	58	,	0	>,
<	58	,	59	,	0	>,
<	59	,	60	,	0	>,
<	59	,	61	,	0	>,
<	59	,	62	,	0	>,
<	63	,	64	,	0	>,
<	64	,	65	,	0	>,
<	65	,	66	,	0	>,
<	66	,	67	,	0	>,
<	66	,	68	,	0	>,
<	66	,	69	,	0	>
};


Modes = {
<0 , 1 , 2, 1, 89>,
<1 , 1 , 3, 1, 42>,
<2 , 1 , 4, 1, 91>,
<3 , 1 , 5, 1, 53>,
<4 , 2 , 2, 2, 92>,
<5 , 2 , 4, 2, 79>,
<6 , 2 , 5, 2, 96>,
<7 , 3 , 1, 3, 95>,
<8 , 3 , 2, 3, 81>,
<9 , 3 , 4, 3, 84>,
<10 , 3 , 5, 3, 71>,
<11 , 4 , 2, 4, 58>,
<12 , 4 , 4, 4, 98>,
<13 , 4 , 5, 4, 75>,
<14 , 5 , 1, 5, 72>,
<15 , 5 , 5, 5, 83>,
<16 , 6 , 1, 6, 99>,
<17 , 6 , 2, 6, 79>,
<18 , 6 , 3, 6, 86>,
<19 , 6 , 5, 6, 79>,
<20 , 7 , 3, 7, 6>,
<21 , 7 , 4, 7, 16>,
<22 , 8 , 1, 8, 76>,
<23 , 8 , 2, 8, 95>,
<24 , 8 , 4, 8, 61>,
<25 , 9 , 4, 9, 17>,
<26 , 9 , 5, 9, 29>,
<27 , 10 , 1, 10, 96>,
<28 , 10 , 2, 10, 95>,
<29 , 10 , 4, 10, 51>,
<30 , 10 , 5, 10, 60>,
<31 , 11 , 1, 11, 31>,
<32 , 11 , 2, 11, 15>,
