// DAFJSP01... pero DRC con uno mío hechoDRC_DAFJS01_W6_26ops5m6w4jobs.txt
//        Ntaks, nMachs, nWORKERs
Params = <26,5,26>;

precedences ={
<	1	,	2	,	0	>,
<	2	,	3	,	0	>,
<	3	,	4	,	0	>,
<	4	,	9	,	0	>,
<	5	,	6	,	0	>,
<	6	,	7	,	0	>,
<	7	,	8	,	0	>,
<	8	,	9	,	0	>,
<	10	,	11	,	0	>,
<	11	,	14	,	0	>,
<	10	,	12	,	0	>,
<	12	,	14	,	0	>,
<	10	,	13	,	0	>,
<	13	,	14	,	0	>,
<	15	,	16	,	0	>,
<	16	,	19	,	0	>,
<	15	,	17	,	0	>,
<	17	,	19	,	0	>,
<	15	,	18	,	0	>,
<	18	,	19	,	0	>,
<	20	,	21	,	0	>,
<	21	,	22	,	0	>,
<	22	,	26	,	0	>,
<	23	,	24	,	0	>,
<	24	,	25	,	0	>,
<	25	,	26	,	0	>
};



// Caminata= #[1:[0,11,12,13,14], 2:[11,0,11,12,13], 3:[12,11,0,11,12], 4:[13,12,11,0,11], 5:[14,13,12,11,0]]#;

Modes = {
<0 , 1 , 1, 1, 84>,
<1 , 1 , 2, 1, 87>,
<2 , 1 , 3, 1, 84>,
<3 , 1 , 4, 1, 91>,
<4 , 2 , 1, 2, 77>,
<5 , 2 , 3, 2, 70>,
<6 , 2 , 4, 2, 66>,
<7 , 3 , 1, 3, 35>,
<8 , 3 , 4, 3, 23>,
<9 , 3 , 5, 3, 13>,
<10 , 4 , 2, 4, 2>,
<11 , 4 , 4, 4, 4>,
<12 , 5 , 2, 5, 99>,
<13 , 5 , 3, 5, 98>,
<14 , 5 , 4, 5, 98>,
<15 , 6 , 1, 6, 51>,
<16 , 6 , 2, 6, 69>,
<17 , 6 , 3, 6, 24>,
<18 , 6 , 4, 6, 30>,
<19 , 7 , 2, 7, 40>,
<20 , 7 , 3, 7, 83>,
<21 , 7 , 4, 7, 51>,
<22 , 7 , 5, 7, 35>,
<23 , 8 , 2, 8, 1>,
<24 , 8 , 5, 8, 1>,
<25 , 9 , 1, 9, 79>,
<26 , 9 , 4, 9, 86>,
<27 , 9 , 5, 9, 90>,
<28 , 10 , 1, 10, 23>,
<29 , 10 , 2, 10, 8>,
<30 , 10 , 4, 10, 8>,
<31 , 10 , 5, 10, 20>,
<32 , 11 , 1, 11, 96>,
<33 , 11 , 2, 11, 98>,
<34 , 11 , 3, 11, 44>,
<35 , 11 , 4, 11, 62>,
<36 , 12 , 2, 12, 3>,
<37 , 12 , 3, 12, 8>,
<38 , 12 , 5, 12, 6>,
<39 , 13 , 2, 13, 17>,
<40 , 13 , 5, 13, 7>,
<41 , 14 , 1, 14, 68>,
<42 , 14 , 3, 14, 83>,
<43 , 14 , 5, 14, 63>,
<44 , 15 , 1, 15, 64>,
<45 , 15 , 2, 15, 70>,
<46 , 15 , 4, 15, 82>,
<47 , 15 , 5, 15, 81>,
<48 , 16 , 2, 16, 65>,
<49 , 16 , 3, 16, 61>,
<50 , 17 , 3, 17, 78>,
<51 , 17 , 4, 17, 64>,
<52 , 17 , 5, 17, 62>,
<53 , 18 , 2, 18, 90>,
<54 , 18 , 3, 18, 69>,
<55 , 18 , 4, 18, 94>,
<56 , 18 , 5, 18, 69>,
<57 , 19 , 1, 19, 53>,
<58 , 19 , 3, 19, 70>,
<59 , 19 , 4, 19, 54>,
<60 , 20 , 1, 20, 57>,
<61 , 20 , 2, 20, 62>,
<62 , 20 , 4, 20, 80>,
<63 , 20 , 5, 20, 64>,
<64 , 21 , 4, 21, 93>,
<65 , 21 , 5, 21, 81>,
<66 , 22 , 1, 22, 57>,
<67 , 22 , 2, 22, 27>,
<68 , 22 , 4, 22, 66>,
<69 , 22 , 5, 22, 25>,
<70 , 23 , 1, 23, 28>,
<71 , 23 , 2, 23, 56>,
<72 , 23 , 3, 23, 20>,
<73 , 23 , 5, 23, 39>,
<74 , 24 , 1, 24, 51>,
<75 , 24 , 2, 24, 38>,
<76 , 24 , 3, 24, 95>,
<77 , 24 , 5, 24, 55>,
<78 , 25 , 4, 25, 12>,
<79 , 25 , 5, 25, 4>,
<80 , 26 , 3, 26, 34>,
<81 , 26 , 5, 26, 85>
};

