// DAFJSP02... pero DRC con uno mío (bloque worker: W7_lets_see3.txt):
//        Ntaks, nMachs, nWORKERs
Params = <25,5,7>;

precedences ={
<	1	,	2	,	0	>,
<	2	,	7	,	0	>,
<	3	,	4	,	0	>,
<	4	,	7	,	0	>,
<	5	,	6	,	0	>,
<	6	,	7	,	0	>,
<	8	,	11	,	0	>,
<	9	,	11	,	0	>,
<	10	,	11	,	0	>,
<	11	,	12	,	0	>,
<	12	,	13	,	0	>,
<	13	,	14	,	0	>,
<	15	,	16	,	0	>,
<	16	,	19	,	0	>,
<	15	,	17	,	0	>,
<	17	,	19	,	0	>,
<	15	,	18	,	0	>,
<	18	,	19	,	0	>,
<	20	,	23	,	0	>,
<	21	,	23	,	0	>,
<	22	,	23	,	0	>,
<	23	,	24	,	0	>,
<	24	,	25	,	0	>
};

Modes = {
<0 , 1 , 3, 2, 37>,
<1 , 1 , 3, 4, 37>,
<2 , 1 , 3, 5, 37>,
<3 , 1 , 3, 7, 37>,
<4 , 1 , 4, 2, 46>,
<5 , 1 , 4, 4, 46>,
<6 , 1 , 4, 5, 46>,
<7 , 1 , 4, 7, 46>,
<8 , 1 , 5, 2, 97>,
<9 , 1 , 5, 4, 97>,
<10 , 1 , 5, 5, 97>,
<11 , 1 , 5, 7, 97>,
<12 , 2 , 2, 1, 88>,
<13 , 2 , 2, 3, 88>,
<14 , 2 , 2, 4, 88>,
<15 , 2 , 2, 5, 88>,
<16 , 2 , 2, 7, 88>,
<17 , 2 , 4, 1, 86>,
<18 , 2 , 4, 3, 86>,
<19 , 2 , 4, 4, 86>,
<20 , 2 , 4, 5, 86>,
<21 , 2 , 4, 7, 86>,
<22 , 3 , 2, 2, 95>,
<23 , 3 , 2, 4, 95>,
<24 , 3 , 2, 5, 95>,
<25 , 3 , 2, 6, 95>,
<26 , 3 , 3, 2, 93>,
<27 , 3 , 3, 4, 93>,
<28 , 3 , 3, 5, 93>,
<29 , 3 , 3, 6, 93>,
<30 , 3 , 4, 2, 93>,
<31 , 3 , 4, 4, 93>,
<32 , 3 , 4, 5, 93>,
<33 , 3 , 4, 6, 93>,
<34 , 3 , 5, 2, 97>,
<35 , 3 , 5, 4, 97>,
<36 , 3 , 5, 5, 97>,
<37 , 3 , 5, 6, 97>,
<38 , 4 , 2, 2, 98>,
<39 , 4 , 2, 3, 98>,
<40 , 4 , 2, 4, 98>,
<41 , 4 , 2, 6, 98>,
<42 , 4 , 3, 2, 93>,
<43 , 4 , 3, 3, 93>,
<44 , 4 , 3, 4, 93>,
<45 , 4 , 3, 6, 93>,
<46 , 4 , 5, 2, 96>,
<47 , 4 , 5, 3, 96>,
<48 , 4 , 5, 4, 96>,
<49 , 4 , 5, 6, 96>,
<50 , 5 , 1, 1, 95>,
<51 , 5 , 1, 3, 95>,
<52 , 5 , 1, 5, 95>,
<53 , 5 , 1, 6, 95>,
<54 , 5 , 2, 1, 96>,
<55 , 5 , 2, 3, 96>,
