// DAFJSP02... pero DRC con uno mío (bloque worker: W7_lets_see3.txt):
//  el listscheduling contra hechoDRC_DAFJS01_W6_26ops5m6w4jobs.txt
//        Ntaks, nMachs, nWORKERs
Params = <25,5,25>;

precedences ={
<	1	,	2	,	0	>,
<	2	,	7	,	0	>,
<	3	,	4	,	0	>,
<	4	,	7	,	0	>,
<	5	,	6	,	0	>,
<	6	,	7	,	0	>,
<	8	,	11	,	0	>,
<	9	,	11	,	0	>,
<	10	,	11	,	0	>,
<	11	,	12	,	0	>,
<	12	,	13	,	0	>,
<	13	,	14	,	0	>,
<	15	,	16	,	0	>,
<	16	,	19	,	0	>,
<	15	,	17	,	0	>,
<	17	,	19	,	0	>,
<	15	,	18	,	0	>,
<	18	,	19	,	0	>,
<	20	,	23	,	0	>,
<	21	,	23	,	0	>,
<	22	,	23	,	0	>,
<	23	,	24	,	0	>,
<	24	,	25	,	0	>
};


Modes = {
<0 , 1 , 3, 1, 37>,
<1 , 1 , 4, 1, 46>,
<2 , 1 , 5, 1, 97>,
<3 , 2 , 2, 2, 88>,
<4 , 2 , 4, 2, 86>,
<5 , 3 , 2, 3, 95>,
<6 , 3 , 3, 3, 93>,
<7 , 3 , 4, 3, 93>,
<8 , 3 , 5, 3, 97>,
<9 , 4 , 2, 4, 98>,
<10 , 4 , 3, 4, 93>,
<11 , 4 , 5, 4, 96>,
<12 , 5 , 1, 5, 95>,
<13 , 5 , 2, 5, 96>,
<14 , 5 , 4, 5, 91>,
<15 , 6 , 1, 6, 74>,
<16 , 6 , 5, 6, 88>,
<17 , 7 , 3, 7, 28>,
<18 , 7 , 4, 7, 43>,
<19 , 8 , 1, 8, 87>,
<20 , 8 , 2, 8, 88>,
<21 , 8 , 3, 8, 99>,
<22 , 8 , 5, 8, 78>,
<23 , 9 , 1, 9, 58>,
<24 , 9 , 3, 9, 85>,
<25 , 9 , 4, 9, 42>,
<26 , 10 , 1, 10, 85>,
<27 , 10 , 2, 10, 92>,
<28 , 10 , 3, 10, 85>,
<29 , 10 , 4, 10, 94>,
<30 , 11 , 1, 11, 48>,
<31 , 11 , 2, 11, 61>,
<32 , 11 , 3, 11, 38>,
<33 , 11 , 4, 11, 39>,
<34 , 12 , 1, 12, 20>,
<35 , 12 , 2, 12, 42>,
<36 , 12 , 5, 12, 42>,
<37 , 13 , 1, 13, 98>,
<38 , 13 , 2, 13, 74>,
<39 , 13 , 3, 13, 74>,
<40 , 14 , 2, 14, 29>,
<41 , 14 , 3, 14, 81>,
<42 , 14 , 4, 14, 33>,
<43 , 14 , 5, 14, 78>,
<44 , 15 , 1, 15, 97>,
<45 , 15 , 2, 15, 87>,
<46 , 15 , 4, 15, 99>,
<47 , 15 , 5, 15, 64>,
<48 , 16 , 2, 16, 15>,
<49 , 16 , 5, 16, 7>,
<50 , 17 , 2, 17, 77>,
<51 , 17 , 4, 17, 74>,
<52 , 17 , 5, 17, 84>,
<53 , 18 , 2, 18, 99>,
<54 , 18 , 3, 18, 40>,
<55 , 18 , 5, 18, 81>,
<56 , 19 , 1, 19, 18>,
<57 , 19 , 2, 19, 13>,
<58 , 19 , 3, 19, 16>,
<59 , 19 , 4, 19, 7>,
<60 , 20 , 1, 20, 18>,
<61 , 20 , 2, 20, 22>,
<62 , 20 , 4, 20, 34>,
<63 , 20 , 5, 20, 45>,
<64 , 21 , 1, 21, 70>,
<65 , 21 , 2, 21, 63>,
<66 , 21 , 3, 21, 98>,
<67 , 21 , 4, 21, 75>,
<68 , 22 , 1, 22, 18>,
<69 , 22 , 5, 22, 11>,
<70 , 23 , 2, 23, 53>,
<71 , 23 , 3, 23, 68>,
<72 , 23 , 5, 23, 45>,
<73 , 24 , 1, 24, 75>,
<74 , 24 , 2, 24, 42>,
<75 , 24 , 3, 24, 56>,
<76 , 25 , 2, 25, 96>,
<77 , 25 , 3, 25, 80>,
<78 , 25 , 5, 25, 92>
};
