! --------------------------------------------------- CP Optimizer 22.1.1.0 --
 ! Minimization problem - 1.012 variables, 191.051 constraints
 ! Presolve      : 95.449 extractables eliminated, 1 constraint generated
 ! FailLimit            = 10.000.000
 ! Initial process time : 317,29s (317,28s extraction + 0,01s propagation)
 !  . Log search space  : 766,8 (before), 766,8 (after)
 !  . Memory usage      : 152,9 MB (before), 152,9 MB (after)
 ! Using parallel search with 24 workers.
 ! ----------------------------------------------------------------------------
 !          Best Branches  Non-fixed    W       Branch decision
                        0      1.012                 -
 + New bound is 576
                    1.116        215   11     1.122  = startOf(PHImodes#751)
                    1.116        215   12     1.136  = startOf(PHImodes#743)
                    1.114        231   16     1.148  = startOf(PHImodes#762)
 *         1.263      160  323,50s      1      (gap is 54,39%)
 *         1.115      160  323,51s      3      (gap is 48,34%)
 *         1.107      160  323,51s      4      (gap is 47,97%)
 *         1.083      160  323,52s      5      (gap is 46,81%)
           1.083    1.126        112   13       824  = startOf(PHImodes#741)
           1.083    1.037        222    2     1.529  = startOf(PHImodes#550)
           1.083    1.136        254   18     1.170  = startOf(PHImodes#746)
           1.083    1.052        254   20     1.280  = startOf(PHImodes#742)
           1.083    1.136        254    1       941  = startOf(PHImodes#745)
           1.083    1.136        254    3       982  = startOf(PHImodes#760)
           1.083    1.095        254    4       998  = startOf(PHImodes#751)
           1.083    1.128        254    7     1.183  = startOf(PHImodes#742)
           1.083    1.087        254    8     1.042  = startOf(PHImodes#762)
           1.083    1.136        254    9       815  = startOf(PHImodes#750)
           1.083    1.032        254   14     1.116  = startOf(PHImodes#757)
           1.083    1.136        254   17       971  = startOf(PHImodes#750)
 ! Time = 324,25s, Average fail depth = 3, Memory usage = 5,0 GB
 ! Current bound is 576 (gap is 46,81%)
 !          Best Branches  Non-fixed    W       Branch decision
           1.083    1.078        254    5     1.002  = startOf(PHImodes#759)
           1.083    1.115        254   10     1.142  = startOf(PHImodes#764)
           1.083    1.119        254   15       791  = startOf(PHImodes#742)
 *         1.057    1.136  324,26s      3      (gap is 45,51%)
           1.057    1.026        215   19     1.310  = startOf(PHImodes#551)
           1.057    1.010        254    6     1.204  = startOf(PHImodes#552)
           1.057    1.136        254   21       863  = startOf(PHImodes#762)
           1.057    1.110        254   22     1.102  = startOf(PHImodes#750)
 *         1.055    1.246  325,18s      3      (gap is 45,40%)
 *           937    1.304  325,35s     13      (gap is 38,53%)
 *           906    1.336  325,71s     12      (gap is 36,42%)
 *           881    1.336  325,90s     18      (gap is 34,62%)
             881    1.048        106   23   F          presenceOf(PHImodes#246)
 *           878    1.446  326,60s     12      (gap is 34,40%)
 *           877    1.446  326,80s     18      (gap is 34,32%)
             877    1.104        254   24       987  = startOf(PHImodes#752)
 *           824    1.724  328,72s     13      (gap is 30,10%)
 *           796    1.834  329,77s     13      (gap is 27,64%)
             796    2.013         14   17   F         !presenceOf(PHImodes#18)
 *           680    1.764  330,90s     19      (gap is 15,29%)
 ! Time = 330,90s, Average fail depth = 3, Memory usage = 6,1 GB
 ! Current bound is 576 (gap is 15,29%)
 !          Best Branches  Non-fixed    W       Branch decision
             680    2.001        138   16   F         !presenceOf(PHImodes#18)
             680    2.005         43    1   F         !presenceOf(PHImodes#18)
             680    2.004         46   10   F         !presenceOf(PHImodes#18)
             680    2.035        108    9   F         !presenceOf(PHImodes#18)
             680    2.000         16   12       308  = startOf(PHImodes#901)
             680    2.011         57   18   F         !presenceOf(PHImodes#18)
             680    2.000         35    8       126  = startOf(PHImodes#672)
 *           672    2.026  332,03s     12      (gap is 14,29%)
             672    2.000         37   15       478  = startOf(PHImodes#367)
             672    2.000         97    3       529  = startOf(PHImodes#210)
             672    2.000         85    4       297  = startOf(PHImodes#684)
             672    2.000         32   13       185  = startOf(PHImodes#614)
             672    2.000         37   11       307  = startOf(PHImodes#438)
             672    2.000         37    7       185  = startOf(PHImodes#617)
             672    2.003        212   21   F         !presenceOf(PHImodes#18)
             672    2.000        186   22       419  = startOf(PHImodes#406)
             672    2.000         45    5       566  = startOf(PHImodes#210)
             672    2.000         25   14              presenceOf(PHImodes#247)
             672    2.000         37   20       184  = startOf(PHImodes#771)
             672    2.000         32    2              presenceOf(PHImodes#782)
 ! Time = 334,15s, Average fail depth = 7, Memory usage = 5,2 GB
 ! Current bound is 576 (gap is 14,29%)
 !          Best Branches  Non-fixed    W       Branch decision
             672    2.000         45    6              presenceOf(PHImodes#811)
 *           671    2.168  335,55s     15      (gap is 14,16%)
 *           665    2.285  335,90s     17      (gap is 13,38%)
             665    2.000          9   19       424  = startOf(PHImodes#705)
             665    2.000         45   23       329  = startOf(PHImodes#68)
 *           662    2.084  337,39s      6      (gap is 12,99%)
 *           652    2.280  337,40s     18      (gap is 11,66%)
             652    2.000         22   24         0  = startOf(PHImodes#7)
 *           645    2.330  338,74s     22      (gap is 10,70%)
