// DAFJS10 
//        Ntaks, nMachs, nWORKERs
Params = 	<58, 5,  58>;

precedences ={
<	1	,	2	,	0	>,
<	2	,	3	,	0	>,
<	3	,	10	,	0	>,
<	4	,	5	,	0	>,
<	5	,	6	,	0	>,
<	6	,	10	,	0	>,
<	7	,	8	,	0	>,
<	8	,	9	,	0	>,
<	9	,	10	,	0	>,
<	10	,	11	,	0	>,
<	12	,	13	,	0	>,
<	13	,	14	,	0	>,
<	14	,	15	,	0	>,
<	15	,	16	,	0	>,
<	14	,	17	,	0	>,
<	17	,	18	,	0	>,
<	14	,	19	,	0	>,
<	19	,	20	,	0	>,
<	21	,	22	,	0	>,
<	22	,	27	,	0	>,
<	23	,	24	,	0	>,
<	24	,	27	,	0	>,
<	25	,	26	,	0	>,
<	26	,	27	,	0	>,
<	27	,	28	,	0	>,
<	28	,	29	,	0	>,
<	30	,	32	,	0	>,
<	31	,	32	,	0	>,
<	32	,	33	,	0	>,
<	33	,	34	,	0	>,
<	34	,	35	,	0	>,
<	36	,	37	,	0	>,
<	37	,	40	,	0	>,
<	36	,	38	,	0	>,
<	38	,	40	,	0	>,
<	36	,	39	,	0	>,
<	39	,	40	,	0	>,
<	40	,	41	,	0	>,
<	41	,	42	,	0	>,
<	43	,	44	,	0	>,
<	44	,	45	,	0	>,
<	44	,	46	,	0	>,
<	44	,	47	,	0	>,
<	48	,	49	,	0	>,
<	49	,	50	,	0	>,
<	49	,	51	,	0	>,
<	52	,	53	,	0	>,
<	53	,	54	,	0	>,
<	54	,	58	,	0	>,
<	55	,	56	,	0	>,
<	56	,	57	,	0	>,
<	57	,	58	,	0	>
};

Modes = {
<0 , 1 , 1, 1, 19>,
<1 , 1 , 2, 1, 8>,
<2 , 1 , 5, 1, 8>,
<3 , 2 , 1, 2, 2>,
<4 , 2 , 2, 2, 3>,
<5 , 2 , 3, 2, 3>,
<6 , 2 , 5, 2, 1>,
<7 , 3 , 1, 3, 99>,
<8 , 3 , 3, 3, 96>,
<9 , 3 , 5, 3, 95>,
<10 , 4 , 1, 4, 6>,
<11 , 4 , 2, 4, 15>,
<12 , 4 , 3, 4, 12>,
<13 , 4 , 4, 4, 11>,
<14 , 5 , 1, 5, 87>,
<15 , 5 , 2, 5, 86>,
<16 , 5 , 3, 5, 85>,
<17 , 5 , 4, 5, 85>,
<18 , 6 , 1, 6, 14>,
<19 , 6 , 5, 6, 34>,
<20 , 7 , 1, 7, 82>,
<21 , 7 , 2, 7, 86>,
<22 , 7 , 5, 7, 79>,
<23 , 8 , 3, 8, 92>,
<24 , 8 , 5, 8, 87>,
<25 , 9 , 1, 9, 2>,
<26 , 9 , 2, 9, 3>,
<27 , 9 , 5, 9, 6>,
<28 , 10 , 2, 10, 2>,
<29 , 10 , 3, 10, 1>,
<30 , 10 , 5, 10, 1>,
<31 , 11 , 1, 11, 98>,
<32 , 11 , 2, 11, 67>,
<33 , 11 , 3, 11, 91>,
<34 , 12 , 1, 12, 70>,
<35 , 12 , 3, 12, 72>,
<36 , 13 , 2, 13, 25>,
<37 , 13 , 3, 13, 27>,
<38 , 13 , 4, 13, 69>,
<39 , 13 , 5, 13, 30>,
<40 , 14 , 1, 14, 67>,
