// DAFJSP013... pero DRC con hecho_DRC_DAFSP013_mixW6tricky2_12_8_3_12_6_2inst5_62ops_5m_6w_10jobs.txt
//        Ntaks, nMachs, nWORKERs
Params = <62,5,6>;

precedences ={
<	1	,	2	,	0	>,
<	2	,	5	,	0	>,
<	3	,	4	,	0	>,
<	4	,	5	,	0	>,
<	6	,	7	,	0	>,
<	7	,	10	,	0	>,
<	8	,	9	,	0	>,
<	9	,	10	,	0	>,
<	11	,	12	,	0	>,
<	12	,	13	,	0	>,
<	13	,	14	,	0	>,
<	14	,	15	,	0	>,
<	14	,	16	,	0	>,
<	17	,	19	,	0	>,
<	18	,	19	,	0	>,
<	19	,	20	,	0	>,
<	20	,	21	,	0	>,
<	22	,	23	,	0	>,
<	23	,	24	,	0	>,
<	23	,	25	,	0	>,
<	23	,	26	,	0	>,
<	27	,	28	,	0	>,
<	28	,	29	,	0	>,
<	29	,	30	,	0	>,
<	30	,	31	,	0	>,
<	28	,	32	,	0	>,
<	32	,	33	,	0	>,
<	33	,	34	,	0	>,
<	28	,	35	,	0	>,
<	35	,	36	,	0	>,
<	36	,	37	,	0	>,
<	38	,	39	,	0	>,
<	39	,	41	,	0	>,
<	38	,	40	,	0	>,
<	40	,	41	,	0	>,
<	41	,	42	,	0	>,
<	42	,	43	,	0	>,
<	44	,	46	,	0	>,
<	45	,	46	,	0	>,
<	46	,	47	,	0	>,
<	48	,	49	,	0	>,
<	49	,	50	,	0	>,
<	49	,	51	,	0	>,
<	52	,	53	,	0	>,
<	53	,	54	,	0	>,
<	54	,	55	,	0	>,
<	55	,	62	,	0	>,
<	52	,	56	,	0	>,
<	56	,	57	,	0	>,
<	57	,	58	,	0	>,
<	58	,	62	,	0	>,
<	52	,	59	,	0	>,
<	59	,	60	,	0	>,
<	60	,	61	,	0	>,
<	61	,	62	,	0	>
};

Modes = {
<0 , 1 , 1, 1, 18>,
<1 , 1 , 2, 1, 15>,
<2 , 1 , 3, 1, 44>,
<3 , 1 , 5, 1, 33>,
<4 , 2 , 1, 2, 69>,
<5 , 2 , 2, 2, 88>,
<6 , 2 , 3, 2, 50>,
<7 , 2 , 5, 2, 99>,
<8 , 3 , 1, 3, 67>,
<9 , 3 , 3, 3, 90>,
<10 , 3 , 4, 3, 61>,
<11 , 3 , 5, 3, 70>,
<12 , 4 , 2, 4, 95>,
<13 , 4 , 3, 4, 84>,
<14 , 5 , 1, 5, 93>,
<15 , 5 , 2, 5, 71>,
<16 , 6 , 1, 6, 95>,
<17 , 6 , 4, 6, 95>,
<18 , 6 , 5, 6, 99>,
<19 , 7 , 1, 7, 90>,
<20 , 7 , 3, 7, 85>,
<21 , 7 , 4, 7, 89>,
<22 , 7 , 5, 7, 94>,
<23 , 8 , 1, 8, 67>,
<24 , 8 , 2, 8, 50>,
<25 , 8 , 3, 8, 55>,
<26 , 8 , 4, 8, 82>,
<27 , 9 , 1, 9, 51>,
<28 , 9 , 2, 9, 59>,
<29 , 9 , 4, 9, 62>,
<30 , 10 , 1, 10, 77>,
<31 , 10 , 2, 10, 77>,
<32 , 10 , 4, 10, 90>,
<33 , 11 , 1, 11, 10>,
<34 , 11 , 2, 11, 6>,
<35 , 11 , 4, 11, 17>,
<36 , 11 , 5, 11, 18>,
<37 , 12 , 2, 12, 10>,
<38 , 12 , 3, 12, 18>,
<39 , 12 , 4, 12, 23>,
<40 , 13 , 1, 13, 91>,
<41 , 13 , 4, 13, 90>,
<42 , 13 , 5, 13, 94>,
<43 , 14 , 3, 14, 99>,
<44 , 14 , 4, 14, 95>,
<45 , 15 , 1, 15, 23>,
<46 , 15 , 2, 15, 13>,
<47 , 15 , 5, 15, 23>,
<48 , 16 , 1, 16, 54>,
<49 , 16 , 3, 16, 50>,
<50 , 16 , 4, 16, 51>,
<51 , 16 , 5, 16, 72>,
<52 , 17 , 1, 17, 96>,
<53 , 17 , 2, 17, 53>,
<54 , 18 , 2, 18, 85>,
<55 , 18 , 3, 18, 89>,
<56 , 18 , 4, 18, 91>,
<57 , 19 , 1, 19, 25>,
<58 , 19 , 2, 19, 51>,
<59 , 19 , 5, 19, 21>,
<60 , 20 , 2, 20, 49>,
<61 , 20 , 4, 20, 26>,
<62 , 20 , 5, 20, 20>,
<63 , 21 , 1, 21, 97>,
<64 , 21 , 4, 21, 82>,
<65 , 22 , 1, 22, 75>,
<66 , 22 , 4, 22, 99>,
<67 , 22 , 5, 22, 82>,
