// DAFJSP14... hecho_DRC_DAFJS014_wDAFJS02_wDAFJS06m5_w5_69op.txt
//        Ntaks, nMachs, nWORKERs
Params = 	<69, 5,  5>;

precedences ={
<	1	,	2	,	0	>,
<	2	,	3	,	0	>,
<	3	,	4	,	0	>,
<	4	,	6	,	0	>,
<	3	,	5	,	0	>,
<	5	,	6	,	0	>,
<	7	,	8	,	0	>,
<	8	,	9	,	0	>,
<	9	,	10	,	0	>,
<	10	,	13	,	0	>,
<	9	,	11	,	0	>,
<	11	,	13	,	0	>,
<	9	,	12	,	0	>,
<	12	,	13	,	0	>,
<	14	,	15	,	0	>,
<	15	,	20	,	0	>,
<	16	,	17	,	0	>,
<	17	,	20	,	0	>,
<	18	,	19	,	0	>,
<	19	,	20	,	0	>,
<	20	,	21	,	0	>,
<	22	,	23	,	0	>,
<	23	,	24	,	0	>,
<	24	,	25	,	0	>,
<	25	,	26	,	0	>,
<	25	,	27	,	0	>,
<	25	,	28	,	0	>,
<	29	,	31	,	0	>,
<	30	,	31	,	0	>,
<	31	,	32	,	0	>,
<	33	,	34	,	0	>,
<	34	,	35	,	0	>,
<	35	,	36	,	0	>,
<	35	,	37	,	0	>,
<	35	,	38	,	0	>,
<	39	,	40	,	0	>,
<	40	,	41	,	0	>,
<	41	,	42	,	0	>,
<	39	,	43	,	0	>,
<	43	,	44	,	0	>,
<	44	,	45	,	0	>,
<	39	,	46	,	0	>,
<	46	,	47	,	0	>,
<	47	,	48	,	0	>,
<	49	,	50	,	0	>,
<	50	,	55	,	0	>,
<	51	,	52	,	0	>,
<	52	,	55	,	0	>,
<	53	,	54	,	0	>,
<	54	,	55	,	0	>,
<	56	,	57	,	0	>,
<	57	,	58	,	0	>,
<	58	,	59	,	0	>,
<	59	,	60	,	0	>,
<	59	,	61	,	0	>,
<	59	,	62	,	0	>,
<	63	,	64	,	0	>,
<	64	,	65	,	0	>,
<	65	,	66	,	0	>,
<	66	,	67	,	0	>,
<	66	,	68	,	0	>,
<	66	,	69	,	0	>
};

Modes = {
<0 , 1 , 2, 3, 89 >,
<1 , 1 , 2, 4, 89 >,
<2 , 1 , 2, 5, 89 >,
<3 , 1 , 3, 3, 42 >,
<4 , 1 , 3, 4, 42 >,
<5 , 1 , 3, 5, 42 >,
<6 , 1 , 4, 3, 91 >,
<7 , 1 , 4, 4, 91 >,
<8 , 1 , 4, 5, 91 >,
<9 , 1 , 5, 3, 53 >,
<10 , 1 , 5, 4, 53 >,
<11 , 1 , 5, 5, 53 >,
<12 , 2 , 2, 2, 92 >,
<13 , 2 , 2, 4, 92 >,
<14 , 2 , 4, 2, 79 >,
<15 , 2 , 4, 4, 79 >,
<16 , 2 , 5, 2, 96 >,
<17 , 2 , 5, 4, 96 >,
<18 , 3 , 1, 2, 95 >,
<19 , 3 , 1, 3, 95 >,
<20 , 3 , 1, 4, 95 >,
<21 , 3 , 1, 5, 95 >,
<22 , 3 , 2, 2, 81 >,
<23 , 3 , 2, 3, 81 >,
<24 , 3 , 2, 4, 81 >,
<25 , 3 , 2, 5, 81 >,
<26 , 3 , 4, 2, 84 >,
<27 , 3 , 4, 3, 84 >,
<28 , 3 , 4, 4, 84 >,
<29 , 3 , 4, 5, 84 >,
<30 , 3 , 5, 2, 71 >,
<31 , 3 , 5, 3, 71 >,
<32 , 3 , 5, 4, 71 >,
<33 , 3 , 5, 5, 71 >,
<34 , 4 , 2, 2, 58 >,
<35 , 4 , 2, 3, 58 >,
<36 , 4 , 2, 5, 58 >,
<37 , 4 , 4, 2, 98 >,
<38 , 4 , 4, 3, 98 >,
<39 , 4 , 4, 5, 98 >,
<40 , 4 , 5, 2, 75 >,
<41 , 4 , 5, 3, 75 >,
<42 , 4 , 5, 5, 75 >,
<43 , 5 , 1, 1, 72 >,
<44 , 5 , 1, 2, 72 >,
<45 , 5 , 1, 4, 72 >,
<46 , 5 , 5, 1, 83 >,
<47 , 5 , 5, 2, 83 >,
<48 , 5 , 5, 4, 83 >,
<49 , 6 , 1, 1, 99 >,
<50 , 6 , 1, 5, 99 >,
<51 , 6 , 2, 1, 79 >,
<52 , 6 , 2, 5, 79 >,
