// DAFJS18...  hecho_DRC_DAFJS018_hybrid_Final2_22_11_4_7_7_1_DAinst5_74ops5m7w12jobs.txt
//        Ntaks, nMachs, nWORKERs

Params = 	<74, 5,  74>;

precedences ={
<	1	,	2	,	0	>,
<	2	,	3	,	0	>,
<	3	,	4	,	0	>,
<	2	,	5	,	0	>,
<	5	,	6	,	0	>,
<	2	,	7	,	0	>,
<	7	,	8	,	0	>,
<	9	,	10	,	0	>,
<	10	,	11	,	0	>,
<	11	,	15	,	0	>,
<	12	,	13	,	0	>,
<	13	,	14	,	0	>,
<	14	,	15	,	0	>,
<	16	,	17	,	0	>,
<	17	,	18	,	0	>,
<	18	,	19	,	0	>,
<	17	,	20	,	0	>,
<	20	,	21	,	0	>,
<	22	,	23	,	0	>,
<	23	,	24	,	0	>,
<	22	,	25	,	0	>,
<	25	,	26	,	0	>,
<	22	,	27	,	0	>,
<	27	,	28	,	0	>,
<	29	,	30	,	0	>,
<	30	,	32	,	0	>,
<	29	,	31	,	0	>,
<	31	,	32	,	0	>,
<	32	,	33	,	0	>,
<	34	,	35	,	0	>,
<	35	,	36	,	0	>,
<	36	,	37	,	0	>,
<	36	,	38	,	0	>,
<	39	,	40	,	0	>,
<	40	,	43	,	0	>,
<	41	,	42	,	0	>,
<	42	,	43	,	0	>,
<	43	,	44	,	0	>,
<	45	,	46	,	0	>,
<	46	,	47	,	0	>,
<	47	,	48	,	0	>,
<	47	,	49	,	0	>,
<	50	,	51	,	0	>,
<	51	,	52	,	0	>,
<	52	,	53	,	0	>,
<	51	,	54	,	0	>,
<	54	,	55	,	0	>,
<	56	,	57	,	0	>,
<	57	,	58	,	0	>,
<	58	,	59	,	0	>,
<	59	,	60	,	0	>,
<	56	,	61	,	0	>,
<	61	,	62	,	0	>,
<	62	,	63	,	0	>,
<	63	,	64	,	0	>,
<	65	,	66	,	0	>,
<	66	,	67	,	0	>,
<	67	,	69	,	0	>,
<	66	,	68	,	0	>,
<	68	,	69	,	0	>,
<	70	,	71	,	0	>,
<	71	,	72	,	0	>,
<	71	,	73	,	0	>,
<	71	,	74	,	0	>
};

Modes = {
<0 , 1 , 3, 1, 89>,
<1 , 1 , 4, 1, 92>,
<2 , 2 , 2, 2, 79>,
<3 , 2 , 3, 2, 81>,
<4 , 3 , 2, 3, 87>,
<5 , 3 , 3, 3, 99>,
<6 , 3 , 5, 3, 79>,
<7 , 4 , 1, 4, 39>,
<8 , 4 , 2, 4, 89>,
<9 , 4 , 4, 4, 71>,
<10 , 5 , 2, 5, 7>,
<11 , 5 , 5, 5, 4>,
<12 , 6 , 2, 6, 81>,
<13 , 6 , 3, 6, 61>,
<14 , 6 , 4, 6, 74>,
<15 , 6 , 5, 6, 92>,
<16 , 7 , 3, 7, 6>,
<17 , 7 , 4, 7, 7>,
<18 , 7 , 5, 7, 15>,
<19 , 8 , 1, 8, 79>,
<20 , 8 , 3, 8, 52>,
<21 , 8 , 4, 8, 92>,
<22 , 8 , 5, 8, 84>,
<23 , 9 , 2, 9, 89>,
<24 , 9 , 3, 9, 79>,
<25 , 9 , 5, 9, 94>,
<26 , 10 , 1, 10, 91>,
<27 , 10 , 3, 10, 89>,
<28 , 10 , 4, 10, 76>,
<29 , 11 , 3, 11, 97>,
<30 , 11 , 4, 11, 54>,
