// DAFJSP019... pero DRC DR_hibrido_conWorkers6_mergeDAFJS19_Y2_mas_1a_70ops7m7w8jobs.txt
//        Ntaks, nMachs, nWORKERs
Params = <70,7,70>;

precedences ={
<	1	,	2	,	0	>,
<	2	,	3	,	0	>,
<	3	,	4	,	0	>,
<	4	,	7	,	0	>,
<	3	,	5	,	0	>,
<	5	,	7	,	0	>,
<	3	,	6	,	0	>,
<	6	,	7	,	0	>,
<	8	,	9	,	0	>,
<	9	,	10	,	0	>,
<	10	,	11	,	0	>,
<	11	,	12	,	0	>,
<	12	,	13	,	0	>,
<	13	,	19	,	0	>,
<	8	,	14	,	0	>,
<	14	,	15	,	0	>,
<	15	,	16	,	0	>,
<	16	,	17	,	0	>,
<	17	,	18	,	0	>,
<	18	,	19	,	0	>,
<	20	,	21	,	0	>,
<	21	,	22	,	0	>,
<	22	,	23	,	0	>,
<	23	,	24	,	0	>,
<	24	,	25	,	0	>,
<	24	,	26	,	0	>,
<	27	,	28	,	0	>,
<	28	,	29	,	0	>,
<	29	,	30	,	0	>,
<	30	,	31	,	0	>,
<	27	,	32	,	0	>,
<	32	,	33	,	0	>,
<	33	,	34	,	0	>,
<	34	,	35	,	0	>,
<	36	,	37	,	0	>,
<	37	,	38	,	0	>,
<	38	,	39	,	0	>,
<	39	,	48	,	0	>,
<	40	,	41	,	0	>,
<	41	,	42	,	0	>,
<	42	,	43	,	0	>,
<	43	,	48	,	0	>,
<	44	,	45	,	0	>,
<	45	,	46	,	0	>,
<	46	,	47	,	0	>,
<	47	,	48	,	0	>,
<	49	,	50	,	0	>,
<	50	,	51	,	0	>,
<	51	,	52	,	0	>,
<	52	,	53	,	0	>,
<	53	,	54	,	0	>,
<	53	,	55	,	0	>,
<	53	,	56	,	0	>,
<	57	,	58	,	0	>,
<	58	,	59	,	0	>,
<	59	,	62	,	0	>,
<	57	,	60	,	0	>,
<	60	,	61	,	0	>,
<	61	,	62	,	0	>,
<	62	,	63	,	0	>,
<	64	,	65	,	0	>,
<	65	,	66	,	0	>,
<	66	,	67	,	0	>,
<	67	,	68	,	0	>,
<	66	,	69	,	0	>,
<	69	,	70	,	0	>
};


Modes = {
<0 , 1 , 1, 1, 90>,
<1 , 1 , 2, 1, 99>,
<2 , 1 , 4, 1, 77>,
<3 , 1 , 7, 1, 96>,
<4 , 2 , 1, 2, 97>,
<5 , 2 , 2, 2, 94>,
<6 , 2 , 5, 2, 94>,
<7 , 2 , 7, 2, 97>,
<8 , 3 , 2, 3, 15>,
<9 , 3 , 3, 3, 15>,
<10 , 3 , 4, 3, 32>,
<11 , 3 , 6, 3, 26>,
<12 , 3 , 7, 3, 37>,
<13 , 4 , 1, 4, 89>,
<14 , 4 , 2, 4, 90>,
<15 , 4 , 6, 4, 90>,
<16 , 5 , 1, 5, 75>,
<17 , 5 , 3, 5, 59>,
<18 , 5 , 4, 5, 64>,
<19 , 5 , 5, 5, 85>,
<20 , 5 , 6, 5, 54>,
<21 , 6 , 1, 6, 35>,
<22 , 6 , 3, 6, 35>,
<23 , 6 , 5, 6, 71>,
<24 , 6 , 7, 6, 82>,
<25 , 7 , 1, 7, 19>,
<26 , 7 , 3, 7, 22>,
<27 , 7 , 5, 7, 10>,
<28 , 7 , 6, 7, 28>,
<29 , 7 , 7, 7, 19>,
