//  17junio25  09:20 1e7 en MaquinonDCO: mks257 en 1min14s
//     Donde List Scheduling era mejor en mks, aquí SIN VIAJES es CPO
// DAFJSP01... pero DRC con uno mío (bloque worker: kukuruku_1_3_6_1inst1.txt):
//  el listscheduling contra hechoDRC_DAFJS01_W6_26ops5m6w4jobs.txt
//        Ntaks, nMachs, nWORKERs
Params = <26,5,6>;

precedences ={
<	1	,	2	,	0	>,
<	2	,	3	,	0	>,
<	3	,	4	,	0	>,
<	4	,	9	,	0	>,
<	5	,	6	,	0	>,
<	6	,	7	,	0	>,
<	7	,	8	,	0	>,
<	8	,	9	,	0	>,
<	10	,	11	,	0	>,
<	11	,	14	,	0	>,
<	10	,	12	,	0	>,
<	12	,	14	,	0	>,
<	10	,	13	,	0	>,
<	13	,	14	,	0	>,
<	15	,	16	,	0	>,
<	16	,	19	,	0	>,
<	15	,	17	,	0	>,
<	17	,	19	,	0	>,
<	15	,	18	,	0	>,
<	18	,	19	,	0	>,
<	20	,	21	,	0	>,
<	21	,	22	,	0	>,
<	22	,	26	,	0	>,
<	23	,	24	,	0	>,
<	24	,	25	,	0	>,
<	25	,	26	,	0	>
};

Modes = {
<0 , 1 , 1, 1, 84>,
<1 , 1 , 1, 3, 84>,
<2 , 1 , 1, 4, 84>,
<3 , 1 , 1, 5, 84>,
<4 , 1 , 2, 1, 87>,
<5 , 1 , 2, 3, 87>,
<6 , 1 , 2, 4, 87>,
<7 , 1 , 2, 5, 87>,
<8 , 1 , 3, 1, 84>,
<9 , 1 , 3, 3, 84>,
<10 , 1 , 3, 4, 84>,
<11 , 1 , 3, 5, 84>,
<12 , 1 , 4, 1, 91>,
<13 , 1 , 4, 3, 91>,
<14 , 1 , 4, 4, 91>,
<15 , 1 , 4, 5, 91>,
<16 , 2 , 1, 1, 77>,
<17 , 2 , 1, 3, 77>,
<18 , 2 , 1, 5, 77>,
<19 , 2 , 3, 1, 70>,
<20 , 2 , 3, 3, 70>,
<21 , 2 , 3, 5, 70>,
<22 , 2 , 4, 1, 66>,
<23 , 2 , 4, 3, 66>,
<24 , 2 , 4, 5, 66>,
<25 , 3 , 1, 2, 35>,
<26 , 3 , 1, 5, 35>,
<27 , 3 , 1, 6, 35>,
<28 , 3 , 4, 2, 23>,
<29 , 3 , 4, 5, 23>,
<30 , 3 , 4, 6, 23>,
<31 , 3 , 5, 2, 13>,
<32 , 3 , 5, 5, 13>,
<33 , 3 , 5, 6, 13>,
<34 , 4 , 2, 3, 2>,
<35 , 4 , 2, 5, 2>,
<36 , 4 , 4, 3, 4>,
<37 , 4 , 4, 5, 4>,
<38 , 5 , 2, 3, 99>,
<39 , 5 , 2, 4, 99>,
<40 , 5 , 2, 5, 99>,
<41 , 5 , 3, 3, 98>,
<42 , 5 , 3, 4, 98>,
<43 , 5 , 3, 5, 98>,
<44 , 5 , 4, 3, 98>,
<45 , 5 , 4, 4, 98>,
<46 , 5 , 4, 5, 98>,
<47 , 6 , 1, 1, 51>,
<48 , 6 , 1, 2, 51>,
<49 , 6 , 1, 4, 51>,
<50 , 6 , 1, 6, 51>,
<51 , 6 , 2, 1, 69>,
<52 , 6 , 2, 2, 69>,
<53 , 6 , 2, 4, 69>,
<54 , 6 , 2, 6, 69>,
<55 , 6 , 3, 1, 24>,
