//  12junio25 9:00   Con FailLimit=1e7  en MaquinonDCO mks576 en 6min 46s
// dafjs04...
//        Ntaks, nMachs, nWORKERs

Params = 	<43, 10,7>;

precedences ={
<	1	,	2	,	0	>,
<	2	,	3	,	0	>,
<	3	,	4	,	0	>,
<	4	,	5	,	0	>,
<	5	,	6	,	0	>,
<	6	,	7	,	0	>,
<	7	,	8	,	0	>,
<	8	,	9	,	0	>,
<	7	,	10	,	0	>,
<	10	,	11	,	0	>,
<	12	,	13	,	0	>,
<	13	,	16	,	0	>,
<	14	,	15	,	0	>,
<	15	,	16	,	0	>,
<	16	,	17	,	0	>,
<	17	,	18	,	0	>,
<	18	,	19	,	0	>,
<	19	,	20	,	0	>,
<	21	,	22	,	0	>,
<	22	,	23	,	0	>,
<	23	,	24	,	0	>,
<	24	,	25	,	0	>,
<	25	,	26	,	0	>,
<	26	,	27	,	0	>,
<	27	,	33	,	0	>,
<	22	,	28	,	0	>,
<	28	,	29	,	0	>,
<	29	,	30	,	0	>,
<	30	,	31	,	0	>,
<	31	,	32	,	0	>,
<	32	,	33	,	0	>,
<	33	,	34	,	0	>,
<	35	,	36	,	0	>,
<	36	,	37	,	0	>,
<	37	,	38	,	0	>,
<	38	,	39	,	0	>,
<	37	,	40	,	0	>,
<	40	,	41	,	0	>,
<	37	,	42	,	0	>,
<	42	,	43	,	0	>

};



Caminata= #[1:[0,11,12,13,14], 2:[11,0,11,12,13], 3:[12,11,0,11,12], 4:[13,12,11,0,11], 5:[14,13,12,11,0]]#;

Modes = {
<0 , 1 , 3, 1, 99>,
<1 , 1 , 3, 2, 99>,
<2 , 1 , 3, 3, 99>,
<3 , 1 , 3, 4, 99>,
<4 , 1 , 3, 6, 99>,
<5 , 1 , 4, 1, 99>,
<6 , 1 , 4, 2, 99>,
<7 , 1 , 4, 3, 99>,
<8 , 1 , 4, 4, 99>,
<9 , 1 , 4, 6, 99>,
<10 , 1 , 5, 1, 99>,
<11 , 1 , 5, 2, 99>,
<12 , 1 , 5, 3, 99>,
<13 , 1 , 5, 4, 99>,
<14 , 1 , 5, 6, 99>,
<15 , 1 , 10, 1, 99>,
<16 , 1 , 10, 2, 99>,
<17 , 1 , 10, 3, 99>,
<18 , 1 , 10, 4, 99>,
<19 , 1 , 10, 6, 99>,
<20 , 2 , 1, 1, 71>,
<21 , 2 , 1, 2, 71>,
<22 , 2 , 1, 3, 71>,
<23 , 2 , 1, 6, 71>,
<24 , 2 , 2, 1, 62>,
<25 , 2 , 2, 2, 62>,
<26 , 2 , 2, 3, 62>,
<27 , 2 , 2, 6, 62>,
<28 , 2 , 4, 1, 72>,
<29 , 2 , 4, 2, 72>,
<30 , 2 , 4, 3, 72>,
<31 , 2 , 4, 6, 72>,
<32 , 2 , 7, 1, 87>,
<33 , 2 , 7, 2, 87>,
<34 , 2 , 7, 3, 87>,
<35 , 2 , 7, 6, 87>,
<36 , 2 , 8, 1, 70>,
<37 , 2 , 8, 2, 70>,
<38 , 2 , 8, 3, 70>,
<39 , 2 , 8, 6, 70>,
<40 , 2 , 9, 1, 97>,
<41 , 2 , 9, 2, 97>,
<42 , 2 , 9, 3, 97>,
<43 , 2 , 9, 6, 97>,
<44 , 2 , 10, 1, 63>,
<45 , 2 , 10, 2, 63>,
