// DAFJSP05... pero DRC con uno mío (bloque worker: 4_3_9_3_4_8_2_7_5_3_6_6_INST12.txt):
//        Ntaks, nMachs, nWORKERs
Params = <39,5,39>;

precedences ={
<	1	,	2	,	0	>,
<	2	,	3	,	0	>,
<	3	,	4	,	0	>,
<	3	,	5	,	0	>,
<	6	,	7	,	0	>,
<	7	,	10	,	0	>,
<	8	,	9	,	0	>,
<	9	,	10	,	0	>,
<	10	,	11	,	0	>,
<	12	,	13	,	0	>,
<	13	,	15	,	0	>,
<	12	,	14	,	0	>,
<	14	,	15	,	0	>,
<	15	,	16	,	0	>,
<	17	,	19	,	0	>,
<	18	,	19	,	0	>,
<	19	,	20	,	0	>,
<	20	,	21	,	0	>,
<	22	,	23	,	0	>,
<	23	,	24	,	0	>,
<	24	,	25	,	0	>,
<	25	,	26	,	0	>,
<	22	,	27	,	0	>,
<	27	,	28	,	0	>,
<	28	,	29	,	0	>,
<	29	,	30	,	0	>,
<	22	,	31	,	0	>,
<	31	,	32	,	0	>,
<	32	,	33	,	0	>,
<	33	,	34	,	0	>,
<	35	,	38	,	0	>,
<	36	,	38	,	0	>,
<	37	,	38	,	0	>,
<	38	,	39	,	0	>
};


Modes = {
<0 , 1 , 1, 1, 68>,
<1 , 1 , 3, 1, 67>,
<2 , 1 , 4, 1, 78>,
<3 , 1 , 5, 1, 70>,
<4 , 2 , 2, 2, 95>,
<5 , 2 , 4, 2, 95>,
<6 , 2 , 5, 2, 89>,
<7 , 3 , 1, 3, 97>,
<8 , 3 , 3, 3, 94>,
<9 , 3 , 4, 3, 97>,
<10 , 3 , 5, 3, 95>,
<11 , 4 , 3, 4, 84>,
<12 , 4 , 4, 4, 28>,
<13 , 5 , 1, 5, 65>,
<14 , 5 , 4, 5, 29>,
<15 , 6 , 1, 6, 11>,
<16 , 6 , 2, 6, 13>,
<17 , 7 , 3, 7, 96>,
<18 , 7 , 4, 7, 94>,
<19 , 8 , 1, 8, 73>,
<20 , 8 , 4, 8, 87>,
<21 , 8 , 5, 8, 71>,
<22 , 9 , 3, 9, 73>,
<23 , 9 , 5, 9, 92>,
<24 , 10 , 1, 10, 6>,
<25 , 10 , 2, 10, 8>,
<26 , 10 , 3, 10, 14>,
<27 , 10 , 5, 10, 10>,
<28 , 11 , 1, 11, 81>,
<29 , 11 , 3, 11, 71>,
<30 , 11 , 4, 11, 66>,
<31 , 12 , 3, 12, 18>,
<32 , 12 , 4, 12, 16>,
<33 , 12 , 5, 12, 47>,
<34 , 13 , 1, 13, 43>,
<35 , 13 , 2, 13, 48>,
<36 , 13 , 3, 13, 41>,
<37 , 14 , 1, 14, 75>,
<38 , 14 , 2, 14, 72>,
<39 , 14 , 3, 14, 73>,
<40 , 14 , 5, 14, 92>,
<41 , 15 , 4, 15, 59>,
<42 , 15 , 5, 15, 54>,
<43 , 16 , 1, 16, 43>,
<44 , 16 , 2, 16, 79>,
<45 , 16 , 4, 16, 39>,
<46 , 16 , 5, 16, 39>,
<47 , 17 , 1, 17, 75>,
<48 , 17 , 2, 17, 92>,
<49 , 17 , 5, 17, 94>,
<50 , 18 , 1, 18, 83>,
<51 , 18 , 3, 18, 90>,
<52 , 18 , 4, 18, 45>,
<53 , 19 , 1, 19, 14>,
<54 , 19 , 5, 19, 37>,
<55 , 20 , 3, 20, 70>,
<56 , 20 , 4, 20, 94>,
<57 , 21 , 1, 21, 18>,
<58 , 21 , 5, 21, 7>,
<59 , 22 , 2, 22, 99>,
<60 , 22 , 3, 22, 95>,
<61 , 22 , 4, 22, 98>,
<62 , 23 , 1, 23, 67>,
<63 , 23 , 4, 23, 73>,
<64 , 24 , 2, 24, 17>,
<65 , 24 , 5, 24, 27>,
<66 , 25 , 1, 25, 16>,
<67 , 25 , 3, 25, 41>,
<68 , 25 , 5, 25, 29>,
<69 , 26 , 3, 26, 39>,
<70 , 26 , 4, 26, 18>,
<71 , 27 , 2, 27, 24>,
<72 , 27 , 3, 27, 65>,
<73 , 27 , 4, 27, 52>,
<74 , 27 , 5, 27, 22>,
<75 , 28 , 3, 28, 79>,
<76 , 28 , 4, 28, 80>,
<77 , 29 , 1, 29, 42>,
<78 , 29 , 3, 29, 59>,
<79 , 29 , 4, 29, 66>,
<80 , 30 , 1, 30, 90>,
<81 , 30 , 3, 30, 83>,
<82 , 31 , 4, 31, 3>,
<83 , 31 , 5, 31, 2>,
<84 , 32 , 3, 32, 82>,
<85 , 32 , 4, 32, 68>,
<86 , 33 , 3, 33, 53>,
<87 , 33 , 5, 33, 30>,
<88 , 34 , 3, 34, 89>,
<89 , 34 , 4, 34, 87>,
<90 , 35 , 1, 35, 90>,
<91 , 35 , 5, 35, 59>,
<92 , 36 , 1, 36, 26>,
<93 , 36 , 2, 36, 19>,
<94 , 36 , 3, 36, 30>,
<95 , 36 , 4, 36, 11>,
<96 , 37 , 1, 37, 50>,
<97 , 37 , 2, 37, 22>,
<98 , 37 , 3, 37, 38>,
<99 , 37 , 4, 37, 47>,
<100 , 38 , 2, 38, 43>,
<101 , 38 , 3, 38, 42>,
<102 , 39 , 1, 39, 19>,
<103 , 39 , 2, 39, 44>
};
