//  DAFJS06 pero drc mío, tomando 44 líneas primeras bloque maq de W9_y_W10insti1.txt
//          : hechoDRC_DAFJS06_W10_44ops5m10w6jobs.txt
//        Ntaks, nMachs, nWORKERs

Params = 	<44, 5,  44>;

precedences ={
<	1	,	2	,	0	>,
<	2	,	5	,	0	>,
<	3	,	4	,	0	>,
<	4	,	5	,	0	>,
<	6	,	7	,	0	>,
<	7	,	8	,	0	>,
<	8	,	11	,	0	>,
<	7	,	9	,	0	>,
<	9	,	11	,	0	>,
<	7	,	10	,	0	>,
<	10	,	11	,	0	>,
<	11	,	12	,	0	>,
<	13	,	14	,	0	>,
<	14	,	16	,	0	>,
<	13	,	15	,	0	>,
<	15	,	16	,	0	>,
<	16	,	17	,	0	>,
<	17	,	18	,	0	>,
<	19	,	20	,	0	>,
<	20	,	21	,	0	>,
<	21	,	22	,	0	>,
<	22	,	31	,	0	>,
<	23	,	24	,	0	>,
<	24	,	25	,	0	>,
<	25	,	26	,	0	>,
<	26	,	31	,	0	>,
<	27	,	28	,	0	>,
<	28	,	29	,	0	>,
<	29	,	30	,	0	>,
<	30	,	31	,	0	>,
<	32	,	34	,	0	>,
<	33	,	34	,	0	>,
<	34	,	35	,	0	>,
<	35	,	36	,	0	>,
<	37	,	38	,	0	>,
<	38	,	39	,	0	>,
<	39	,	40	,	0	>,
<	40	,	41	,	0	>,
<	38	,	42	,	0	>,
<	42	,	43	,	0	>,
<	43	,	44	,	0	>
};


Modes = {
<0 , 1 , 3, 1, 8>,
<1 , 1 , 5, 1, 15>,
<2 , 2 , 3, 2, 26>,
<3 , 2 , 4, 2, 62>,
<4 , 3 , 3, 3, 44>,
<5 , 3 , 4, 3, 26>,
<6 , 3 , 5, 3, 46>,
<7 , 4 , 4, 4, 90>,
<8 , 4 , 5, 4, 74>,
<9 , 5 , 1, 5, 90>,
<10 , 5 , 2, 5, 93>,
<11 , 5 , 3, 5, 87>,
<12 , 5 , 5, 5, 76>,
<13 , 6 , 3, 6, 42>,
<14 , 6 , 4, 6, 61>,
<15 , 7 , 2, 7, 28>,
<16 , 7 , 4, 7, 63>,
<17 , 8 , 2, 8, 17>,
<18 , 8 , 4, 8, 48>,
<19 , 8 , 5, 8, 23>,
<20 , 9 , 2, 9, 89>,
<21 , 9 , 4, 9, 96>,
<22 , 10 , 1, 10, 12>,
<23 , 10 , 4, 10, 10>,
<24 , 11 , 1, 11, 98>,
<25 , 11 , 2, 11, 68>,
<26 , 11 , 3, 11, 70>,
<27 , 12 , 1, 12, 99>,
<28 , 12 , 2, 12, 99>,
<29 , 12 , 4, 12, 99>,
<30 , 12 , 5, 12, 99>,
<31 , 13 , 1, 13, 82>,
<32 , 13 , 5, 13, 86>,
<33 , 14 , 1, 14, 84>,
<34 , 14 , 4, 14, 79>,
<35 , 15 , 1, 15, 71>,
<36 , 15 , 5, 15, 98>,
<37 , 16 , 2, 16, 6>,
<38 , 16 , 3, 16, 12>,
<39 , 16 , 4, 16, 11>,
<40 , 16 , 5, 16, 11>,
<41 , 17 , 1, 17, 97>,
<42 , 17 , 2, 17, 99>,
<43 , 17 , 3, 17, 97>,
<44 , 17 , 4, 17, 97>,
<45 , 18 , 2, 18, 54>,
<46 , 18 , 5, 18, 98>,
<47 , 19 , 1, 19, 56>,
<48 , 19 , 2, 19, 63>,
<49 , 19 , 5, 19, 53>,
<50 , 20 , 2, 20, 89>,
<51 , 20 , 4, 20, 90>,
<52 , 20 , 5, 20, 76>,
<53 , 21 , 2, 21, 38>,
<54 , 21 , 3, 21, 79>,
<55 , 22 , 2, 22, 92>,
<56 , 22 , 3, 22, 61>,
<57 , 22 , 4, 22, 96>,
<58 , 22 , 5, 22, 88>,
<59 , 23 , 2, 23, 38>,
<60 , 23 , 3, 23, 13>,
<61 , 24 , 1, 24, 69>,
<62 , 24 , 2, 24, 76>,
<63 , 24 , 4, 24, 83>,
<64 , 24 , 5, 24, 82>,
<65 , 25 , 1, 25, 3>,
<66 , 25 , 3, 25, 7>,
<67 , 25 , 5, 25, 3>,
<68 , 26 , 1, 26, 92>,
<69 , 26 , 4, 26, 93>,
<70 , 27 , 1, 27, 48>,
<71 , 27 , 3, 27, 38>,
<72 , 27 , 4, 27, 17>,
<73 , 27 , 5, 27, 38>,
<74 , 28 , 1, 28, 61>,
<75 , 28 , 2, 28, 82>,
<76 , 28 , 3, 28, 59>,
<77 , 28 , 5, 28, 90>,
