// DAFJSP07... pero DRC con uno mío ahora con más workers: hecho_DRC_DAFJS07_W8tricky2_12_8_3_12_6_2inst3_85ops10m8w6jobs.txt
//        Ntaks, nMachs, nWORKERs
Params = <85,10,85>;

precedences ={
<	1	,	2	,	0	>,
<	2	,	3	,	0	>,
<	3	,	4	,	0	>,
<	4	,	5	,	0	>,
<	5	,	16	,	0	>,
<	6	,	7	,	0	>,
<	7	,	8	,	0	>,
<	8	,	9	,	0	>,
<	9	,	10	,	0	>,
<	10	,	16	,	0	>,
<	11	,	12	,	0	>,
<	12	,	13	,	0	>,
<	13	,	14	,	0	>,
<	14	,	15	,	0	>,
<	15	,	16	,	0	>,
<	16	,	17	,	0	>,
<	17	,	18	,	0	>,
<	19	,	20	,	0	>,
<	20	,	21	,	0	>,
<	21	,	22	,	0	>,
<	22	,	23	,	0	>,
<	23	,	24	,	0	>,
<	24	,	25	,	0	>,
<	25	,	26	,	0	>,
<	26	,	27	,	0	>,
<	20	,	28	,	0	>,
<	28	,	29	,	0	>,
<	29	,	30	,	0	>,
<	30	,	31	,	0	>,
<	31	,	32	,	0	>,
<	32	,	33	,	0	>,
<	33	,	34	,	0	>,
<	20	,	35	,	0	>,
<	35	,	36	,	0	>,
<	36	,	37	,	0	>,
<	37	,	38	,	0	>,
<	38	,	39	,	0	>,
<	39	,	40	,	0	>,
<	40	,	41	,	0	>,
<	42	,	43	,	0	>,
<	43	,	44	,	0	>,
<	44	,	45	,	0	>,
<	45	,	46	,	0	>,
<	46	,	48	,	0	>,
<	45	,	47	,	0	>,
<	47	,	48	,	0	>,
<	48	,	49	,	0	>,
<	49	,	50	,	0	>,
<	51	,	52	,	0	>,
<	52	,	53	,	0	>,
<	53	,	54	,	0	>,
<	54	,	56	,	0	>,
<	53	,	55	,	0	>,
<	55	,	56	,	0	>,
<	56	,	57	,	0	>,
<	58	,	59	,	0	>,
<	59	,	60	,	0	>,
<	60	,	61	,	0	>,
<	61	,	62	,	0	>,
<	62	,	63	,	0	>,
<	63	,	64	,	0	>,
<	64	,	65	,	0	>,
<	65	,	66	,	0	>,
<	59	,	67	,	0	>,
<	67	,	68	,	0	>,
<	68	,	69	,	0	>,
<	69	,	70	,	0	>,
<	70	,	71	,	0	>,
<	71	,	72	,	0	>,
<	72	,	73	,	0	>,
<	74	,	75	,	0	>,
<	75	,	76	,	0	>,
<	76	,	77	,	0	>,
<	77	,	78	,	0	>,
<	78	,	79	,	0	>,
<	79	,	82	,	0	>,
<	77	,	80	,	0	>,
<	80	,	81	,	0	>,
<	81	,	82	,	0	>,
<	82	,	83	,	0	>,
<	83	,	84	,	0	>,
<	84	,	85	,	0	>
};


Modes = {
<0 , 1 , 1, 1, 68>,
<1 , 1 , 2, 1, 37>,
<2 , 1 , 5, 1, 42>,
<3 , 1 , 6, 1, 54>,
<4 , 1 , 8, 1, 71>,
<5 , 1 , 10, 1, 54>,
<6 , 2 , 1, 2, 80>,
<7 , 2 , 5, 2, 90>,
<8 , 2 , 7, 2, 59>,
<9 , 2 , 9, 2, 75>,
<10 , 2 , 10, 2, 97>,
<11 , 3 , 1, 3, 83>,
<12 , 3 , 2, 3, 57>,
<13 , 3 , 4, 3, 59>,
<14 , 3 , 7, 3, 55>,
<15 , 3 , 8, 3, 86>,
