// DAFJSP08... pero DRC con uno mío hecho_DRC_DAFJS08_W7_2_12_7_3inst2_85ops10m7w6jobs.txt
//        Ntaks, nMachs, nWORKERs
Params = <85,10,85>;

precedences ={
<	1	,	2	,	0	>,
<	2	,	3	,	0	>,
<	3	,	4	,	0	>,
<	4	,	5	,	0	>,
<	5	,	6	,	0	>,
<	6	,	7	,	0	>,
<	7	,	8	,	0	>,
<	8	,	9	,	0	>,
<	2	,	10	,	0	>,
<	10	,	11	,	0	>,
<	11	,	12	,	0	>,
<	12	,	13	,	0	>,
<	13	,	14	,	0	>,
<	14	,	15	,	0	>,
<	15	,	16	,	0	>,
<	2	,	17	,	0	>,
<	17	,	18	,	0	>,
<	18	,	19	,	0	>,
<	19	,	20	,	0	>,
<	20	,	21	,	0	>,
<	21	,	22	,	0	>,
<	22	,	23	,	0	>,
<	24	,	25	,	0	>,
<	25	,	26	,	0	>,
<	26	,	27	,	0	>,
<	27	,	28	,	0	>,
<	28	,	29	,	0	>,
<	29	,	42	,	0	>,
<	30	,	31	,	0	>,
<	31	,	32	,	0	>,
<	32	,	33	,	0	>,
<	33	,	34	,	0	>,
<	34	,	35	,	0	>,
<	35	,	42	,	0	>,
<	36	,	37	,	0	>,
<	37	,	38	,	0	>,
<	38	,	39	,	0	>,
<	39	,	40	,	0	>,
<	40	,	41	,	0	>,
<	41	,	42	,	0	>,
<	42	,	43	,	0	>,
<	43	,	44	,	0	>,
<	44	,	45	,	0	>,
<	46	,	47	,	0	>,
<	47	,	48	,	0	>,
<	48	,	49	,	0	>,
<	49	,	50	,	0	>,
<	50	,	51	,	0	>,
<	51	,	56	,	0	>,
<	49	,	52	,	0	>,
<	52	,	53	,	0	>,
<	53	,	56	,	0	>,
<	49	,	54	,	0	>,
<	54	,	55	,	0	>,
<	55	,	56	,	0	>,
<	56	,	57	,	0	>,
<	57	,	58	,	0	>,
<	58	,	59	,	0	>,
<	60	,	61	,	0	>,
<	61	,	62	,	0	>,
<	62	,	63	,	0	>,
<	63	,	64	,	0	>,
<	63	,	65	,	0	>,
<	66	,	67	,	0	>,
<	67	,	68	,	0	>,
<	68	,	75	,	0	>,
<	69	,	70	,	0	>,
<	70	,	71	,	0	>,
<	71	,	75	,	0	>,
<	72	,	73	,	0	>,
<	73	,	74	,	0	>,
<	74	,	75	,	0	>,
<	75	,	76	,	0	>,
<	76	,	77	,	0	>,
<	77	,	78	,	0	>,
<	78	,	79	,	0	>,
<	80	,	81	,	0	>,
<	81	,	82	,	0	>,
<	82	,	83	,	0	>,
<	83	,	85	,	0	>,
<	82	,	84	,	0	>,
<	84	,	85	,	0	>
};

Modes = {
<0 , 1 , 1, 1, 84>,
<1 , 1 , 2, 1, 69>,
<2 , 1 , 5, 1, 63>,
<3 , 1 , 6, 1, 70>,
<4 , 1 , 7, 1, 95>,
<5 , 1 , 9, 1, 63>,
<6 , 1 , 10, 1, 89>,
<7 , 2 , 4, 2, 42>,
<8 , 2 , 6, 2, 58>,
<9 , 2 , 9, 2, 89>,
<10 , 2 , 10, 2, 64>,
<11 , 3 , 1, 3, 26>,
<12 , 3 , 2, 3, 35>,
<13 , 3 , 5, 3, 78>,
<14 , 4 , 6, 4, 93>,
<15 , 4 , 7, 4, 95>,
<16 , 4 , 10, 4, 94>,
