// DAFJSP03... pero DRC con uno mío hechoDRC_DAFJS03_W8_55ops10m10w4jobs.txt
//        Ntaks, nMachs, nWORKERs
Params = <55,10,8>;

precedences ={
<	1	,	2	,	0	>,
<	2	,	3	,	0	>,
<	3	,	4	,	0	>,
<	4	,	5	,	0	>,
<	5	,	6	,	0	>,
<	6	,	7	,	0	>,
<	7	,	8	,	0	>,
<	8	,	9	,	0	>,
<	9	,	10	,	0	>,
<	6	,	11	,	0	>,
<	11	,	12	,	0	>,
<	12	,	13	,	0	>,
<	13	,	14	,	0	>,
<	15	,	16	,	0	>,
<	16	,	17	,	0	>,
<	17	,	18	,	0	>,
<	18	,	19	,	0	>,
<	19	,	20	,	0	>,
<	20	,	21	,	0	>,
<	21	,	22	,	0	>,
<	22	,	23	,	0	>,
<	23	,	24	,	0	>,
<	17	,	25	,	0	>,
<	25	,	26	,	0	>,
<	26	,	27	,	0	>,
<	27	,	28	,	0	>,
<	28	,	29	,	0	>,
<	29	,	30	,	0	>,
<	30	,	31	,	0	>,
<	32	,	33	,	0	>,
<	33	,	34	,	0	>,
<	34	,	35	,	0	>,
<	35	,	40	,	0	>,
<	36	,	37	,	0	>,
<	37	,	38	,	0	>,
<	38	,	39	,	0	>,
<	39	,	40	,	0	>,
<	40	,	41	,	0	>,
<	41	,	42	,	0	>,
<	42	,	43	,	0	>,
<	43	,	44	,	0	>,
<	44	,	45	,	0	>,
<	46	,	47	,	0	>,
<	47	,	48	,	0	>,
<	48	,	49	,	0	>,
<	49	,	50	,	0	>,
<	50	,	55	,	0	>,
<	46	,	51	,	0	>,
<	51	,	52	,	0	>,
<	52	,	53	,	0	>,
<	53	,	54	,	0	>,
<	54	,	55	,	0	>,
<	53	,	54	,	0	>
};




Modes = {
<0 , 1 , 2, 3, 96>,
<1 , 1 , 2, 5, 96>,
<2 , 1 , 2, 8, 96>,
<3 , 1 , 3, 3, 83>,
<4 , 1 , 3, 5, 83>,
<5 , 1 , 3, 8, 83>,
<6 , 1 , 5, 3, 94>,
<7 , 1 , 5, 5, 94>,
<8 , 1 , 5, 8, 94>,
<9 , 1 , 8, 3, 89>,
<10 , 1 , 8, 5, 89>,
<11 , 1 , 8, 8, 89>,
<12 , 2 , 2, 1, 30>,
<13 , 2 , 2, 2, 30>,
<14 , 2 , 2, 5, 30>,
<15 , 2 , 2, 6, 30>,
<16 , 2 , 5, 1, 11>,
<17 , 2 , 5, 2, 11>,
<18 , 2 , 5, 5, 11>,
<19 , 2 , 5, 6, 11>,
<20 , 2 , 6, 1, 13>,
<21 , 2 , 6, 2, 13>,
<22 , 2 , 6, 5, 13>,
<23 , 2 , 6, 6, 13>,
<24 , 2 , 9, 1, 21>,
<25 , 2 , 9, 2, 21>,
<26 , 2 , 9, 5, 21>,
<27 , 2 , 9, 6, 21>,
<28 , 2 , 10, 1, 23>,
<29 , 2 , 10, 2, 23>,
<30 , 2 , 10, 5, 23>,
<31 , 2 , 10, 6, 23>,
<32 , 3 , 2, 3, 82>,
<33 , 3 , 2, 6, 82>,
<34 , 3 , 2, 8, 82>,
<35 , 3 , 4, 3, 75>,
<36 , 3 , 4, 6, 75>,
<37 , 3 , 4, 8, 75>,
<38 , 3 , 6, 3, 80>,
<39 , 3 , 6, 6, 80>,
<40 , 3 , 6, 8, 80>,
